season,week,game_id,player,pfr_player_id,position,team,opponent,receptions,targets,team_pass_attempts,team_dropbacks,target_share,targets_per_dropback,wow_target_share_change
2025,6,2025_06_TEN_LV,Calvin Ridley,00-0034837,WR,TEN,LV,1,1,38,50.0,0.02631578947368421,0.02,-0.23009446693657218
2025,6,2025_06_TEN_LV,Chimere Dike,00-0040705,WR,TEN,LV,2,3,38,50.0,0.07894736842105263,0.06,-0.04925775978407557
2025,6,2025_06_TEN_LV,Elic Ayomanor,00-0040170,WR,TEN,LV,3,5,38,50.0,0.13157894736842105,0.1,0.029014844804318485
2025,6,2025_06_TEN_LV,Tyler Lockett,00-0032211,WR,TEN,LV,1,3,38,50.0,0.07894736842105263,0.06,-0.023616734143049933
2025,6,2025_06_TEN_LV,Van Jefferson,00-0036415,WR,TEN,LV,4,6,38,50.0,0.15789473684210525,0.12,0.11943319838056679
2025,6,2025_06_CHI_WAS,Jacory Croskey-Merritt,00-0040242,RB,WAS,CHI,1,1,26,38.0,0.038461538461538464,0.02631578947368421,-0.038461538461538464
2025,6,2025_06_CHI_WAS,Jeremy McNichols,00-0033955,RB,WAS,CHI,3,4,26,38.0,0.15384615384615385,0.10526315789473684,0.07692307692307693
2025,6,2025_06_CHI_WAS,Zach Ertz,00-0030061,TE,WAS,CHI,6,6,26,38.0,0.23076923076923078,0.15789473684210525,0.19230769230769232
2025,6,2025_06_CHI_WAS,Chris Moore,00-0032398,WR,WAS,CHI,3,5,26,38.0,0.19230769230769232,0.13157894736842105,0.15384615384615385
2025,6,2025_06_CHI_WAS,Deebo Samuel Sr.,00-0035719,WR,WAS,CHI,4,5,26,38.0,0.19230769230769232,0.13157894736842105,-0.23076923076923075
2025,6,2025_06_CHI_WAS,Jaylin Lane,00-0040164,WR,WAS,CHI,1,2,26,38.0,0.07692307692307693,0.05263157894736842,0.0
2025,6,2025_06_CHI_WAS,Luke McCaffrey,00-0039355,WR,WAS,CHI,1,1,26,38.0,0.038461538461538464,0.02631578947368421,-0.038461538461538464
